situation,xg,time,atime,plyr_name,country,pos,jersey_no,goal_type,x,y,g,t,h,vid,key,st
fast-break,0.11,26,,Aleksandar Mitrović,Serbia,F,9,regular,3.6,11,48,1,1,0,0,
regular,0.09,35,,Dušan Vlahović,Serbia,F,9,regular,13.5,11.8,48,1,2,0,0,
assisted,0.12,20,,Xherdan Shaqiri,Switzerland,M,10,regular,-13,11.7,48,2,1,0,0,
assisted,0.63,44,,Breel Embolo,Switzerland,F,36,regular,3.8,4.2,48,2,2,0,0,
assisted,0.1,48,,Remo Freuler,Switzerland,M,8,regular,-2.4,11.5,48,2,3,0,0,
assisted,0.16,10,,Memphis Depay,Netherlands,F,9,regular,-4.3,13.9,49,1,1,0,0,
assisted,0.16,45,1,Daley Blind,Netherlands,D,17,regular,2,13,49,1,2,0,0,
assisted,0.38,81,,Denzel Dumfries,Netherlands,M,2,regular,-4.7,7.6,49,1,3,0,0,
assisted,0.2,76,,Haji Wright,United States,F,11,regular,-6,4.4,49,2,1,0,0,
set-piece,0.04,35,,Lionel Messi,Argentina,F,10,regular,-11,14.7,50,1,1,0,0,
regular,0.57,57,,Julián Álvarez,Argentina,F,19,regular,-13.8,10.2,50,1,2,0,0,
regular,,77,,Enzo Fernández,Argentina,M,8,own-goal,,,50,2,1,0,0,
assisted,0.43,44,,Olivier Giroud,France,F,9,regular,10.7,12.8,51,1,1,0,0,
fast-break,0.11,74,,Kylian Mbappé,France,F,7,regular,15.1,13.4,51,1,2,0,0,
assisted,0.04,90,1,Kylian Mbappé,France,F,7,regular,19,13.4,51,1,3,0,0,
penalty,0.79,90,9,Robert Lewandowski,Poland,F,9,penalty,0,11.5,51,2,1,0,0,
assisted,0.14,39,,Jordan Henderson,England,M,6,regular,4.7,12.4,52,1,1,0,0,
fast-break,0.24,45,3,Harry Kane,England,F,9,regular,-14.8,12.6,52,1,2,0,0,
assisted,0.1,57,,Bukayo Saka,England,F,7,regular,4.5,9.9,52,1,3,0,0,
assisted,0.03,55,,Ivan Perišić,Croatia,M,4,regular,7.1,12.5,53,2,1,0,0,
corner,0.37,43,,Daizen Maeda,Japan,F,38,regular,-4,6.7,53,1,1,0,0,
assisted,0.16,7,,Vinícius Júnior,Brazil,F,7,regular,14.8,10.3,54,1,1,0,0,
